ExecutionId,Cycle,Folder Name,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,Execution Status,Execution Defect(s),Creation Date,Assigned To,Execution Custom Field,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comment,Test Step Custom Field
11253575-116a-44b2-a51b-3d137cc25e3c,Admin Module,,FA-12,Verify the structure of the Admin Module,FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,05-19-2022 19:53:47,PASS,,05-19-2022 19:50:53,,,,,,cd176e9f-bd4c-48f5-8ca6-107a39e95173,1,1. Launch OrangeHRM,Orange HRM,User should be able to launch Orange HRM,PASS,,
98eab4f6-49de-4bc9-b802-5d0e733ac32a,2,2. Login to Orange HRM with your credentials,user and password available,User should be able to login with no issues,UNEXECUTED,,
4041aea5-393d-4479-9586-09db6f2058c4,3,3.Check that the panel has the expected options:,"- User Management:
- Job
- Organization:
- Qualifications
- Nationalities
- Configuration:",User should be able to see all options,UNEXECUTED,,
421d6cad-e95c-4c17-8534-6302bb1ee931,4,4. Check if each option is selectable,"- User Management:
- Job
- Organization:
- Qualifications
- Nationalities
- Configuration:",User should be able to select each option,UNEXECUTED,,
61fd6494-f443-42cc-abde-31148908339b,Admin Module,,FA-21,"Verify that Admin can create a new ""Reporting Methods""",FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,05-30-2022 20:07:01,PASS,,05-30-2022 18:51:28,,,,,,adb6526e-c2e2-4755-9177-4f5889996052,1,Launch Orange Hrm,,User is able to launch the application,PASS,,
89d84ac3-8093-43ee-a0c6-3a7ce2a63e57,2,Go to PIM>> Configuration>> Reporting Methods and click “Add”,,User is able to access the reporting method section,PASS,,
a19aa107-b258-461d-81df-e32813f67f8b,3,Click on ADD to add a reporting method,,Reporting method should be opened,PASS,,
34b9da4e-0a11-4479-a75d-846cb206d8dc,4,Fill in a reporting method,,User can fill in the field,PASS,,
40bdba14-f44f-430b-86f4-2538db4c3c05,5,"Click on ""Save""",,Filed should be saved,PASS,,
7903865e-7c47-4bd8-9bc1-a4cf98dd5c42,Admin Module,,FA-22,"Verify user can click the ""cancel"" button on adding a reporting methods",FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,05-30-2022 20:11:38,PASS,,05-30-2022 18:51:57,,,,,,7330b899-0fce-468f-9779-616482a0c6db,1,Launch Orange hrm,,user is able to launch the app,PASS,,
8edc1622-8ed0-473a-8268-769c025f4394,2,Go to PIM>> Configuration>> Reporting Methods and click ADD,,Reporting method window is shown,PASS,,
c61e4ca5-7c96-4d10-97e6-96c1f3cac857,3,Fill in the field,,Field is filled in,PASS,,
939193ed-c076-4e29-ae3e-e3a6182b24fd,4,"Click on ""cancel"" button",,Adding the reporting methods is cancelled,PASS,,
23f3ec80-b181-424f-9dbc-e79e2e6be902,Admin Module,,FA-23,"Verify user si able to clic the ""delete"" button on Reporting Methods",FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,06-05-2022 19:21:57,PASS,,05-30-2022 18:52:16,,,,,,2abe22d3-4ddd-430b-8440-02ec5b2800cc,1,Launch Orange hrm,,user is able to launch the application,PASS,,
87e8ca9e-053d-4cb2-8bd9-50c2dcb7d392,2,Go to PIM>> Configuration>> Reporting Methods,,Reporting methods window is shown,PASS,,
56278cee-4a20-4b44-8a16-3b8a1a11ad55,3,Select the reporting method that has to be deleted,,reporting method selected,PASS,,
67980e3b-154d-4e95-9ed1-14d245ac34d2,4,"click on ""delete"" button",,the selected reporting method is deleted,PASS,,
35246613-a94e-471f-85e5-6623a91b0030,Admin Module,,FA-24,"Verify user is able to add ""termination reasons""",FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,06-05-2022 19:43:46,PASS,,05-30-2022 18:52:34,,,,,,1518e480-a61a-4d4c-b14c-fa563e6037dc,1,Launch Orange HRM,,user is able to launch the application,PASS,,
faa53288-23b5-49f3-b206-3c88458cf8a7,2,"To add a termination reason, Go to PIM>>Configuration>>Termination Reason and click “Add”",,Termination reason window is opened,PASS,,
08206e6a-2efb-4978-8698-5fb78dea84ef,3,Complete the field to add a termination reason,,termination reason cad be added,PASS,,
4e6b99aa-bae0-4015-b246-bb6273ea8c2a,4,"Click on ""save"" button to save",,termination reason is added and can be seen on the termination reasons list,PASS,,
49f70caa-1184-46ff-9158-b207f5975b91,Admin Module,,FA-19,"Verify user is able to ""delete"" a custom field",FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,05-30-2022 19:27:03,PASS,,05-30-2022 18:50:43,,,,,,c46662b3-fcd4-4b70-bf46-5eb7a1caf02b,1,Launch Orange hrm,,Admin is able to launch the application,PASS,,
2349ed2a-3218-47be-8f41-b3273aeb7d79,2,3.Go to PIM>>Configuration>>Custom Fields,,"User is able to access ""custom fields""",PASS,,
c18d3921-0b02-479f-b286-2c3d1725a969,3,"Click on ""define custom field"" and click ""delete""",,"User is able to ""delete"" a custom field",PASS,,
7fcf8193-18e5-4606-86c4-52242fff581d,Admin Module,,FA-18,Verify Admin is able to ADD a Custom Field,FinalProject_AlexandraIstrati,,OrangeHRM product launch,Medium,Alexandra Istrati,05-30-2022 19:24:33,PASS,,05-30-2022 18:50:26,,,,,,e4addcaa-e659-4196-8706-55bf05e918cf,1,1. Launch Orange hrm,,Admin can launch the application,PASS,,
